"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"AP2","7020",1,"28302063","cancer","PubMed+PubTator3"
"APAF1","317",1,"34308964","cancer","PubMed+PubTator3"
"Apc","11789",1,"32600361","cancer","PubMed+PubTator3"
"ARAF","369",1,"23171949","cancer","PubMed+PubTator3"
"Araf1","369",1,"34308964","cancer","PubMed+PubTator3"
"ARFGEF2","10564",1,"33258187","cancer","PubMed+PubTator3"
"ARHGAP29","9411",1,"19457610","cancer","PubMed+PubTator3"
"ARHGEF12","23365",1,"41310897","cancer","PubMed+PubTator3"
"ARHGEF4","50649",1,"30821641","cancer","PubMed+PubTator3"
"ARID1A.","8289",1,"31395065","cancer","PubMed+PubTator3"
"ARID2","196528",1,"26099527","cancer","PubMed+PubTator3"
"Arid5b","71371",1,"39067134","cancer","PubMed+PubTator3"
"ARL17B","100506084",1,"39623312","cancer","PubMed+PubTator3"
"ARMCX4","100131755",1,"28339086","cancer","PubMed+PubTator3"
"ARNT","405",1,"32988402","cancer","PubMed+PubTator3"
"aromatase","1588",1,"16322257","cancer","PubMed+PubTator3"
"Aromatase","1588",1,"16322257","cancer","PubMed+PubTator3"
"ARPIN","348110",1,"17171680","cancer","PubMed+PubTator3"
"Aryl hydrocarbon receptor","196",1,"32988402","cancer","PubMed+PubTator3"
"AS","112935892",1,"38761291","cancer","PubMed+PubTator3"
"ASB4","51666",1,"36194576","cancer","PubMed+PubTator3"
"ASH1","429",1,"31782890","cancer","PubMed+PubTator3"
"Asp (abnormal spindle)","259266",1,"26178168","cancer","PubMed+PubTator3"
"Aspm","289054",1,"26178168","cancer","PubMed+PubTator3"
"ASPM","259266",1,"26178168","cancer","PubMed+PubTator3"
"ASXL1","171023",1,"32374727","cancer","PubMed+PubTator3"
"ASXL3","80816",1,"34341073","cancer","PubMed+PubTator3"
"ATF4","468",1,"34839022","cancer","PubMed+PubTator3"
"ATF6B","1388",1,"41270069","cancer","PubMed+PubTator3"
"ATM","472",1,"19092773","cancer","PubMed+PubTator3"
"ATP5C1","509",1,"22363440","cancer","PubMed+PubTator3"
"ATP6","4508",1,"27055661","cancer","PubMed+PubTator3"
"AXIN1","8312",1,"26099527","cancer","PubMed+PubTator3"
"B2M","567",1,"31345234","cancer","PubMed+PubTator3"
"BABAM1","29086",1,"40775447","cancer","PubMed+PubTator3"
"BAP1","8314",1,"34341073","cancer","PubMed+PubTator3"
"BBOX1","8424",1,"38761291","cancer","PubMed+PubTator3"
"Bcl-2","596",1,"31782890","cancer","PubMed+PubTator3"
"BCL-2","596",1,"41168822","cancer","PubMed+PubTator3"
"BCL2A1","597",1,"34308964","cancer","PubMed+PubTator3"
"BCL2L1","598",1,"20164920","cancer","PubMed+PubTator3"
"BCL6","604",1,"32857918","cancer","PubMed+PubTator3"
"Beta-2-microglobulin","567",1,"31345234","cancer","PubMed+PubTator3"
"BIRC2","329",1,"28339086","cancer","PubMed+PubTator3"
"BOP1","23246",1,"22174824","cancer","PubMed+PubTator3"
"BRCA1-2","672;675",1,"34146199","cancer","PubMed+PubTator3"
"BRCA3","60500",1,"19092773","cancer","PubMed+PubTator3"
"BRCAX","60500",1,"20352487","cancer","PubMed+PubTator3"
"BST2","684",1,"39420005","cancer","PubMed+PubTator3"
"C-C motif chemokine 23","6368",1,"40038097","cancer","PubMed+PubTator3"
"c-Fos","2353",1,"26676204","cancer","PubMed+PubTator3"
"c-FOS","2353",1,"28886127","cancer","PubMed+PubTator3"
"c-Jun","3725",1,"26676204","cancer","PubMed+PubTator3"
"c-Jun N-terminal kinase","5599",1,"29666306","cancer","PubMed+PubTator3"
"c-KIT","3815",1,"29695767","cancer","PubMed+PubTator3"
"c-Myc","4609",1,"22321013","cancer","PubMed+PubTator3"
"C-X-C motif chemokine 1","2919",1,"40038097","cancer","PubMed+PubTator3"
"C/EBPbeta","12608",1,"25539728","cancer","PubMed+PubTator3"
"C11orf53","341032",1,"35812248","cancer","PubMed+PubTator3"
"C13orf27","93081",1,"23158542","cancer","PubMed+PubTator3"
"C14orf166","51637",1,"37632791","cancer","PubMed+PubTator3"
"C18orf54","162681",1,"39878408","cancer","PubMed+PubTator3"
"C19orf2","8725",1,"22174824","cancer","PubMed+PubTator3"
"C19orf53","28974",1,"25551281","cancer","PubMed+PubTator3"
"C1QTNF2","114898",1,"36194576","cancer","PubMed+PubTator3"
"C5orf34","375444",1,"38078888","cancer","PubMed+PubTator3"
"C5orf67","101928448",1,"34021172","cancer","PubMed+PubTator3"
"CA125","94025",1,"35180847","cancer","PubMed+PubTator3"
"CADM1","23705",1,"41415280","cancer","PubMed+PubTator3"
"cAMP response element-binding protein","1385",1,"24423449","cancer","PubMed+PubTator3"
"CAPN13","92291",1,"32079541","cancer","PubMed+PubTator3"
"carboxypeptidase M","1368",1,"30523707","cancer","PubMed+PubTator3"
"CASP10","843",1,"41188790","cancer","PubMed+PubTator3"
"caspase 8","841",1,"40038097","cancer","PubMed+PubTator3"
"Caspase-3","836",1,"41168822","cancer","PubMed+PubTator3"
"caspase-8","841",1,"27855189","cancer","PubMed+PubTator3"
"catenin beta 1","1499",1,"22034905","cancer","PubMed+PubTator3"
"CAV1","857",1,"25579546","cancer","PubMed+PubTator3"
"CAVEOLIN1","857",1,"34167951","cancer","PubMed+PubTator3"
"CBL","867",1,"33909040","cancer","PubMed+PubTator3"
"CCAAT/Enhancer Binding Protein beta","1051",1,"34282050","cancer","PubMed+PubTator3"
"CCDC74B","91409",1,"36194576","cancer","PubMed+PubTator3"
"CCL20","6364",1,"40936758","cancer","PubMed+PubTator3"
"CCL28","56477",1,"38502355","cancer","PubMed+PubTator3"
"CCM2","83605",1,"40447568","cancer","PubMed+PubTator3"
"CCNB2","9133",1,"36116415","cancer","PubMed+PubTator3"
"CCNF","899",1,"39324133","cancer","PubMed+PubTator3"
"CD177","57126",1,"41373777","cancer","PubMed+PubTator3"
"CD24","100133941",1,"33135729","cancer","PubMed+PubTator3"
"CD25","3559",1,"16804532","cancer","PubMed+PubTator3"
"CD300LF","146722",1,"39878408","cancer","PubMed+PubTator3"
"CD74","972",1,"40936758","cancer","PubMed+PubTator3"
"CD79A","973",1,"25572802","cancer","PubMed+PubTator3"
"CDC20","991",1,"36116415","cancer","PubMed+PubTator3"
"CDC25A","993",1,"19457610","cancer","PubMed+PubTator3"
"CDC42BPA","8476",1,"36194576","cancer","PubMed+PubTator3"
"CDCA8","55143",1,"22174824","cancer","PubMed+PubTator3"
"CDH13","1012",1,"22034905","cancer","PubMed+PubTator3"
"CDK2","1017",1,"23787073","cancer","PubMed+PubTator3"
"CDK2NA","1017",1,"25275298","cancer","PubMed+PubTator3"
"CDK4","1019",1,"32374727","cancer","PubMed+PubTator3"
"CDKN1A","1026",1,"40038097","cancer","PubMed+PubTator3"
"CDKN1B","1027",1,"32374727","cancer","PubMed+PubTator3"
"Cdkn2a and b","1029",1,"20639864","cancer","PubMed+PubTator3"
"CDKN2A.","1029",1,"35180847","cancer","PubMed+PubTator3"
"CDKN2AIP","55602",1,"19457610","cancer","PubMed+PubTator3"
"CEA","5670",1,"35180847","cancer","PubMed+PubTator3"
"CEBPA","1050",1,"22930530","cancer","PubMed+PubTator3"
"Cebpb","12608",1,"25539728","cancer","PubMed+PubTator3"
"CELA2A","63036",1,"36116415","cancer","PubMed+PubTator3"
"CELA2B","51032",1,"36116415","cancer","PubMed+PubTator3"
"CELA3A","10136",1,"36116415","cancer","PubMed+PubTator3"
"CELF2","10659",1,"33142748","cancer","PubMed+PubTator3"
"CENPM","79019",1,"39324133","cancer","PubMed+PubTator3"
"CFAP99","402160",1,"30289875","cancer","PubMed+PubTator3"
"CHD2","1106",1,"35180847","cancer","PubMed+PubTator3"
"CHEK1","1111",1,"32902196","cancer","PubMed+PubTator3"
"CHMP2B","25978",1,"41270069","cancer","PubMed+PubTator3"
"CHRNA3","1136",1,"28583088","cancer","PubMed+PubTator3"
"CHRNA4","1137",1,"28583088","cancer","PubMed+PubTator3"
"CHRNA5","1138",1,"28583088","cancer","PubMed+PubTator3"
"CHRNB4","1143",1,"28583088","cancer","PubMed+PubTator3"
"CIITA","4261",1,"28339086","cancer","PubMed+PubTator3"
"CKS1B","1163",1,"39324133","cancer","PubMed+PubTator3"
"CKS2","1164",1,"39324133","cancer","PubMed+PubTator3"
"CLDN1","9076",1,"38761291","cancer","PubMed+PubTator3"
"CLDN3","1365",1,"33638948","cancer","PubMed+PubTator3"
"CLPTM1L","81037",1,"40775447","cancer","PubMed+PubTator3"
"CMYA5","202333",1,"28339086","cancer","PubMed+PubTator3"
"CNP","1267",1,"34308964","cancer","PubMed+PubTator3"
"CNPY2","10330",1,"41006377","cancer","PubMed+PubTator3"
"coiled-coil domain-containing 26","137196",1,"31619233","cancer","PubMed+PubTator3"
"COL1A1","1277",1,"36116415","cancer","PubMed+PubTator3"
"COL5A2","1290",1,"25551281","cancer","PubMed+PubTator3"
"COLCA1","399948",1,"35812248","cancer","PubMed+PubTator3"
"COLCA2","120376",1,"35812248","cancer","PubMed+PubTator3"
"COLEC12","81035",1,"39872525","cancer","PubMed+PubTator3"
"COPS5","10987",1,"30243646","cancer","PubMed+PubTator3"
"CORO2A","7464",1,"23302999","cancer","PubMed+PubTator3"
"COX6B1","1340",1,"39878408","cancer","PubMed+PubTator3"
"CPA1","1357",1,"36116415","cancer","PubMed+PubTator3"
"CPA2","1358",1,"36116415","cancer","PubMed+PubTator3"
"CPB1","1360",1,"36116415","cancer","PubMed+PubTator3"
"CPE","1363",1,"41006377","cancer","PubMed+PubTator3"
"CPM","1368",1,"30523707","cancer","PubMed+PubTator3"
"CREB","1385",1,"24423449","cancer","PubMed+PubTator3"
"CREB3L4","148327",1,"39878408","cancer","PubMed+PubTator3"
"CREBP","NA",1,"25275298","cancer","PubMed+PubTator3"
"CRG","55636",1,"28003584","cancer","PubMed+PubTator3"
"CRIM1","51232",1,"25798919","cancer","PubMed+PubTator3"
"CRISPLD2","83716",1,"35414113","cancer","PubMed+PubTator3"
