"Gene","Tissue_Count","Best_QValue","Best_Empirical_PValue","Best_PValue","Mean_Abs_Log2_AFC","Example_Tissues","Gencode_ID","Phenotype","Selected_Tissues"
"AC007009.1",1,5.37948e-35,4.26338e-37,2.18481e-43,3.320756,"Liver","ENSG00000244239.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RP11-817J15.3",1,7.60502e-35,6.17418e-37,3.00772e-42,4.290819,"Liver","ENSG00000281655.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"NPHP4",1,1.02609e-34,8.42956e-37,7.954e-42,2.207141,"Liver","ENSG00000131697.17","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RP11-259O2.3",1,3.57576e-34,4.03715e-36,2.78028e-43,2.824529,"Prostate","ENSG00000249731.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"LRRC61",1,4.35251e-34,3.78601e-36,1.80444e-41,1.245159,"Liver","ENSG00000127399.14","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"MRPS18AP1",1,9.41146e-34,1.10475e-35,3.45452e-41,2.306976,"Prostate","ENSG00000229759.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RP1-60O19.1",1,2.2742e-33,2.11008e-35,1.67919e-40,1.277773,"Liver","ENSG00000235142.7","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"WFDC3",1,3.82254e-33,4.76105e-35,1.32618e-40,3.203308,"Prostate","ENSG00000124116.18","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RP11-734I18.1",1,4.13515e-33,3.91667e-35,1.80772e-47,4.073936,"Liver","ENSG00000251129.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"CTD-2228K2.7",1,4.53244e-33,5.72647e-35,4.43829e-41,1.700262,"Prostate","ENSG00000225138.7","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"ARHGEF19",1,5.40285e-33,5.22183e-35,3.20544e-41,1.728243,"Liver","ENSG00000142632.16","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RP11-30P6.6",1,9.45805e-33,9.23257e-35,5.72867e-41,3.164915,"Liver","ENSG00000234155.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"WEE2-AS1",1,1.49761e-32,2.02633e-34,7.40132e-39,1.294693,"Prostate","ENSG00000228775.7","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"HLA-DRB6",1,1.50822e-32,2.05421e-34,3.15921e-42,2.19006,"Prostate","ENSG00000229391.7","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"AOC1",1,1.6199e-32,1.64391e-34,4.04689e-40,5.747486,"Liver","ENSG00000002726.20","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"DDAH1",1,1.84088e-32,1.88595e-34,2.67929e-40,0.883446,"Liver","ENSG00000153904.18","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"EEF1DP4",1,3.98437e-32,5.64096e-34,5.33867e-41,2.914014,"Prostate","ENSG00000213640.3","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"HYDIN2",1,7.95722e-32,1.16221e-33,5.72316e-38,2.677273,"Prostate","ENSG00000276975.2","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"SPIRE1",1,8.16092e-32,8.67624e-34,3.08774e-39,2.462372,"Liver","ENSG00000134278.15","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"URAHP",1,9.20346e-32,9.87356e-34,4.59576e-40,1.177708,"Liver","ENSG00000222019.7","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"IL27",1,9.41556e-32,1.01921e-33,1.76436e-38,1.480332,"Liver","ENSG00000197272.2","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
