"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"beta2-adrenoceptor","154",1,"18647184","migraine","PubMed+PubTator3"
"BHLHE22","27319",1,"40791713","migraine","PubMed+PubTator3"
"BLM","641",1,"41261954","migraine","PubMed+PubTator3"
"BMAL1","406",1,"40802209","migraine","PubMed+PubTator3"
"BMF","90427",1,"36914876","migraine","PubMed+PubTator3"
"BRD3","8019",1,"36739509","migraine","PubMed+PubTator3"
"BRPF3","27154",1,"38867170","migraine","PubMed+PubTator3"
"BSN","8927",1,"36914876","migraine","PubMed+PubTator3"
"C-C motif chemokine 25","6370",1,"39279254","migraine","PubMed+PubTator3"
"c-Fos","2353",1,"40802209","migraine","PubMed+PubTator3"
"c-Jun","3725",1,"23333373","migraine","PubMed+PubTator3"
"C-reactive protein","1401",1,"40337101","migraine","PubMed+PubTator3"
"C-X-C motif chemokine 11","6373",1,"39279254","migraine","PubMed+PubTator3"
"C12orf76","400073",1,"41261954","migraine","PubMed+PubTator3"
"C6orf25","80739",1,"41233745","migraine","PubMed+PubTator3"
"Ca(2+)","760",1,"17376154","migraine","PubMed+PubTator3"
"CACNA1C","775",1,"19215628","migraine","PubMed+PubTator3"
"CACNA1D","776",1,"41372126","migraine","PubMed+PubTator3"
"CACNA1F","778",1,"11890456","migraine","PubMed+PubTator3"
"Cacna1g","12291",1,"17376154","migraine","PubMed+PubTator3"
"CACNA1H","8912",1,"36786913","migraine","PubMed+PubTator3"
"CACNA1I","8911",1,"36786913","migraine","PubMed+PubTator3"
"CACNB4","785",1,"16866717","migraine","PubMed+PubTator3"
"cacophony","32158",1,"30080864","migraine","PubMed+PubTator3"
"Calb2","12308",1,"17376154","migraine","PubMed+PubTator3"
"calcium channel auxiliary beta subunit","NA",1,"11890456","migraine","PubMed+PubTator3"
"Calsequestrin 2","29209",1,"41421282","migraine","PubMed+PubTator3"
"CAMK2","816",1,"33767277","migraine","PubMed+PubTator3"
"caspase-3","25402",1,"27706811","migraine","PubMed+PubTator3"
"CASQ 1","844",1,"17727731","migraine","PubMed+PubTator3"
"Casq2","29209",1,"41421282","migraine","PubMed+PubTator3"
"Catechol-O-methyltransferase","1312",1,"28089731","migraine","PubMed+PubTator3"
"Catechol-O-Methyltransferase","1312",1,"25929431","migraine","PubMed+PubTator3"
"Cav 2.1","773",1,"28573794","migraine","PubMed+PubTator3"
"Cav 2.3","777",1,"28573794","migraine","PubMed+PubTator3"
"Cav1.2","775",1,"19215628","migraine","PubMed+PubTator3"
"Cav2.1","773",1,"39568055","migraine","PubMed+PubTator3"
"CBFB","865",1,"38867170","migraine","PubMed+PubTator3"
"CBG","866",1,"22013108","migraine","PubMed+PubTator3"
"CBLN1","869",1,"40791713","migraine","PubMed+PubTator3"
"CCDC134","79879",1,"40826382","migraine","PubMed+PubTator3"
"CCDC146","57639",1,"41345547","migraine","PubMed+PubTator3"
"CCL22","6367",1,"31214186","migraine","PubMed+PubTator3"
"CCL25","6370",1,"39279254","migraine","PubMed+PubTator3"
"CCL3","6348",1,"31214186","migraine","PubMed+PubTator3"
"CCL4","6351",1,"31214186","migraine","PubMed+PubTator3"
"CCR2","729230",1,"19559392","migraine","PubMed+PubTator3"
"CD33","945",1,"37662610","migraine","PubMed+PubTator3"
"CD38","952",1,"32083545","migraine","PubMed+PubTator3"
"CDC42","998",1,"41029193","migraine","PubMed+PubTator3"
"CDK4","1019",1,"38867170","migraine","PubMed+PubTator3"
"CELF4","56853",1,"41420111","migraine","PubMed+PubTator3"
"CELSR3","1951",1,"39841246","migraine","PubMed+PubTator3"
"CETP","1071",1,"38183343","migraine","PubMed+PubTator3"
"chemokine receptor 3","2833",1,"41001447","migraine","PubMed+PubTator3"
"CHGA","1113",1,"38898596","migraine","PubMed+PubTator3"
"CHIC2","26511",1,"35546551","migraine","PubMed+PubTator3"
"CHRNA4","1137",1,"38927733","migraine","PubMed+PubTator3"
"CHRNB1","1140",1,"41097341","migraine","PubMed+PubTator3"
"CHST6","4166",1,"36292730","migraine","PubMed+PubTator3"
"CLCNKB","1188",1,"26814133","migraine","PubMed+PubTator3"
"CLIC5","53405",1,"18676988","migraine","PubMed+PubTator3"
"Clock","9575",1,"36990725","migraine","PubMed+PubTator3"
