"Gene"
"EZH2; histone-lysine N-methyltransferase EZH2 isoform c [KO:K11430] [EC:2.1.1.356]"
"EZR; ezrin [KO:K08007]"
"F2; coagulation factor II"
"F2R; coagulation factor II thrombin receptor [KO:K03914]"
"F2RL3; F2R like thrombin or trypsin receptor 3 [KO:K04236]"
"FADD; Fas associated via death domain [KO:K02373]"
"FAS; Fas cell surface death receptor [KO:K04390]"
"FASLG; Fas ligand [KO:K04389]"
"FCGR1A; Fc gamma receptor Ia [KO:K06498]"
"FEV; FEV transcription factor"
"FGF1; fibroblast growth factor 1 [KO:K18496]"
"FGF10; fibroblast growth factor 10 [KO:K04358]"
"FGF16; fibroblast growth factor 16 [KO:K04358]"
"FGF17; fibroblast growth factor 17 [KO:K04358]"
"FGF18; fibroblast growth factor 18 [KO:K04358]"
"FGF19; fibroblast growth factor 19 [KO:K22603]"
"FGF2; fibroblast growth factor 2 [KO:K18497]"
"FGF20; fibroblast growth factor 20 [KO:K04358]"
"FGF21; fibroblast growth factor 21 [KO:K22429]"
"FGF22; fibroblast growth factor 22 [KO:K04358]"
"FGF23; fibroblast growth factor 23 [KO:K22428]"
"FGF3; fibroblast growth factor 3 [KO:K04358]"
"FGF4; fibroblast growth factor 4 [KO:K04358]"
"FGF5; fibroblast growth factor 5 [KO:K04358]"
"FGF6; fibroblast growth factor 6 [KO:K04358]"
"FGF7; fibroblast growth factor 7 [KO:K04358]"
"FGF8; fibroblast growth factor 8 [KO:K04358]"
"FGF9; fibroblast growth factor 9 [KO:K04358]"
"FGFR1; fibroblast growth factor receptor 1 [KO:K04362] [EC:2.7.10.1]"
"FGFR2; fibroblast growth factor receptor 2 [KO:K05093] [EC:2.7.10.1]"
"FGFR3; fibroblast growth factor receptor 3 [KO:K05094] [EC:2.7.10.1]"
"FGFR3; fibroblast growth factor receptor 3 isoform 1 precursor [KO:K05094] [EC:2.7.10.1]"
"FGFR4; fibroblast growth factor receptor 4 [KO:K05095] [EC:2.7.10.1]"
"FH; fumarate hydratase [KO:K01679] [EC:4.2.1.2]"
"FHIT; fragile histidine triad diadenosine triphosphatase [KO:K01522] [EC:3.6.1.29]"
"FLI1; Fli-1 proto-oncogene"
