"Gene","TargetID","GeneName","Score"
"C3orf49","ENSG00000163632","chromosome 3 open reading frame 49",0.295423312983396
"AFAP1","ENSG00000196526","actin filament associated protein 1",0.29506030243234
"JPH3","ENSG00000154118","junctophilin 3",0.29395659766475
"SPATA17","ENSG00000162814","spermatogenesis associated 17",0.290660823385387
"ZHX3","ENSG00000174306","zinc fingers and homeoboxes 3",0.290277370223045
"SNX15","ENSG00000110025","sorting nexin 15",0.289564874727968
"CIT","ENSG00000122966","citron rho-interacting serine/threonine kinase",0.287899506825799
"HRH1","ENSG00000196639","histamine receptor H1",0.28730624597835
"JMJD1C","ENSG00000171988","jumonji domain containing 1C",0.28635976295543
"CCDC188","ENSG00000234409","coiled-coil domain containing 188",0.284262021708792
"MLLT10","ENSG00000078403","MLLT10 histone lysine methyltransferase DOT1L cofactor",0.282790488884541
"KIF26B","ENSG00000162849","kinesin family member 26B",0.281476624810486
"NLRP1","ENSG00000091592","NLR family pyrin domain containing 1",0.281344837972662
"NCOR2","ENSG00000196498","nuclear receptor corepressor 2",0.2793521054613
"ZMYND8","ENSG00000101040","zinc finger MYND-type containing 8",0.279338534034618
"ENSG00000300293","ENSG00000300293","novel protein similar to claudin-7",0.278941325462092
"GPR149","ENSG00000174948","G protein-coupled receptor 149",0.278377777940112
"CNTN4","ENSG00000144619","contactin 4",0.277867603738712
"MLXIPL","ENSG00000009950","MLX interacting protein like",0.276578507650523
"TBC1D32","ENSG00000146350","TBC1 domain family member 32",0.275267285808844
"ZCCHC14","ENSG00000140948","zinc finger CCHC-type containing 14",0.274966056697183
"ADAMTS9","ENSG00000163638","ADAM metallopeptidase with thrombospondin type 1 motif 9",0.274762078367339
"CAMTA1","ENSG00000171735","calmodulin binding transcription activator 1",0.273540797293733
"SKI","ENSG00000157933","SKI proto-oncogene",0.273424816314832
"IFT43","ENSG00000119650","intraflagellar transport 43",0.272960143424245
"DMRTA2","ENSG00000142700","DMRT like family A2",0.271674527866857
"FGF23","ENSG00000118972","fibroblast growth factor 23",0.270902413756183
"RCCD1","ENSG00000166965","RCC1 domain containing 1",0.268952817875346
"ABI3BP","ENSG00000154175","ABI family member 3 binding protein",0.268796327152654
"CAMK1D","ENSG00000183049","calcium/calmodulin dependent protein kinase ID",0.268282079872323
"NDUFAF4","ENSG00000123545","NADH:ubiquinone oxidoreductase complex assembly factor 4",0.266527066177669
"CLCN1","ENSG00000188037","chloride voltage-gated channel 1",0.266097495372985
"TAB2","ENSG00000055208","TGF-beta activated kinase 1 (MAP3K7) binding protein 2",0.266097495372985
"SSBP2","ENSG00000145687","single stranded DNA binding protein 2",0.265835805276409
"RASGRP1","ENSG00000172575","RAS guanyl releasing protein 1",0.265390077047143
"PLCB1","ENSG00000182621","phospholipase C beta 1",0.264485425411715
"PLEKHA1","ENSG00000107679","pleckstrin homology domain containing A1",0.264113934701563
"SENP6","ENSG00000112701","SUMO specific peptidase 6",0.263381898889768
"TRIM32","ENSG00000119401","tripartite motif containing 32",0.263215818061047
"CDKN2C","ENSG00000123080","cyclin dependent kinase inhibitor 2C",0.262445795812245
"ACTRT2","ENSG00000169717","actin related protein T2",0.262203166242149
"LINGO2","ENSG00000174482","leucine rich repeat and Ig domain containing 2",0.260271295644243
"MT-ND6","ENSG00000198695","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6",0.259814637843345
"IGF1R","ENSG00000140443","insulin like growth factor 1 receptor",0.25977093629861
"MT-ND4","ENSG00000198886","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4",0.259260268061318
"HMGXB3","ENSG00000113716","HMG-box containing 3",0.259044981282526
"MT-ND5","ENSG00000198786","mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5",0.258705898279291
"NDUFS2","ENSG00000158864","NADH:ubiquinone oxidoreductase core subunit S2",0.258705898279291
"NDUFV3","ENSG00000160194","NADH:ubiquinone oxidoreductase subunit V3",0.258705898279291
"NDUFS3","ENSG00000213619","NADH:ubiquinone oxidoreductase core subunit S3",0.258705898279291
"NDUFS8","ENSG00000110717","NADH:ubiquinone oxidoreductase core subunit S8",0.258705898279291
"COXFA4L2","ENSG00000185633","cytochrome c oxidase hypoxia associated subunit FA4L2",0.258705898279291
"NDUFC1","ENSG00000109390","NADH:ubiquinone oxidoreductase subunit C1",0.258705898279291
"NDUFA5","ENSG00000128609","NADH:ubiquinone oxidoreductase subunit A5",0.258705898279291
"NDUFAF2","ENSG00000164182","NADH:ubiquinone oxidoreductase complex assembly factor 2",0.258705898279291
