"Gene_Symbol","Gene_Name","MIM_Number","Entry_Title","Search_Term","Phenotype_Map","Inheritance","Entrez_GeneIDs","Ensembl_IDs","Source"
"CARS2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CARS2","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CASEIN","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CASR","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CASR","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CASR","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CCDC88C","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CCDC88C","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CCDC88C","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CDK19","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CDK19","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CDKL5","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CDKL5","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CELF2","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CELF2","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CEREBELLAR","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CEREBELLAR","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CEREBELLAR","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CEREBELLAR","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CEREBELLAR","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CEREBRAL","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CEREBRAL","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CEREBRAL","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CEREBRAL","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CGRP","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
